,issueNumber,title,description,FIGDiagnostic,labels,dateMade
946,946,Fig does not work except first time after install,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
I have run fig doctor in the affected terminal session
I have typed 'git ' and included a screenshot of the Debugger (click the Fig icon in the macOS menu bar)
Issue Details
Description:
Fig only works right after the initial install, not after. Replicable in vscode terminal or terminal. Does not integrate with kitty at all (separate issue)
~$ fig doctor

✅ Everything looks good!

Fig still not working?
Run fig issue to let us know!
Or, email us at hello@fig.io!
~$ cat ~/.bashrc 

#### FIG ENV VARIABLES ####
# Please make sure this block is at the start of this file.
[ -s ~/.fig/shell/pre.sh ] && source ~/.fig/shell/pre.sh
#### END FIG ENV VARIABLES ####
export HISTTIMEFORMAT=""%d/%m/%y %T ""
export HISTSIZE=10000
export HISTFILESIZE=50000

#### FIG ENV VARIABLES ####
# Please make sure this block is at the end of this file.
[ -s ~/.fig/fig.sh ] && source ~/.fig/fig.sh
#### END FIG ENV VARIABLES ####
~$ cat ~/.bash_profile

#### FIG ENV VARIABLES ####
# Please make sure this block is at the start of this file.
[ -s ~/.fig/shell/pre.sh ] && source ~/.fig/shell/pre.sh
#### END FIG ENV VARIABLES ####
export PATH=/bin:/sbin:/usr/bin:/usr/sbin:/usr/libexec:/opt/homebrew/bin:/usr/local/bin:/Users/myuser/bin
# autocomplete requires bash 5 which leads to warnings on macs hence following
export BASH_SILENCE_DEPRECATION_WARNING=1

#prompt setup
PS1=""\w$ ""
PROMPT_COMMAND='echo -ne ""\033]0;${HOSTNAME}:$(basename ${PWD})\007""'

[[ -r ""/opt/homebrew/etc/profile.d/bash_completion.sh"" ]] && . ""/opt/homebrew/etc/profile.d/bash_completion.sh""

# source ~/.kube/kubectl_autocompletion
source <(kubectl completion bash | sed 's/kubectl/k/g')
source <(kubectl completion bash)

# Setup bash aliases
if [ -f ~/.bash_aliases ]; then
    . ~/.bash_aliases
fi

# Longer and timestamped history
shopt -s histappend
export HISTTIMEFORMAT=""%d/%m/%y %T ""
export HISTSIZE=10000
export HISTFILESIZE=50000

# Colorize man pages https://boredzo.org/blog/archives/2016-08-15/colorized-man-pages-understood-and-customized
man() {
    env \
    LESS_TERMCAP_mb=""$(printf ""\e[1;31m"")"" \
    LESS_TERMCAP_md=""$(printf ""\e[1;31m"")"" \
    LESS_TERMCAP_me=""$(printf ""\e[0m"")"" \
    LESS_TERMCAP_se=""$(printf ""\e[0m"")"" \
    LESS_TERMCAP_so=""$(printf ""\e[1;44;33m"")"" \
    LESS_TERMCAP_ue=""$(printf ""\e[0m"")"" \
    LESS_TERMCAP_us=""$(printf ""\e[1;32m"")"" \
    man ""${@}""
}

# Starship 
eval ""$(starship init bash)""

# OktaAWSCLI
if [[ -f ""$HOME/.okta/bash_functions"" ]]; then
    . ""$HOME/.okta/bash_functions""
fi
if [[ -d ""$HOME/.okta/bin"" && "":$PATH:"" != *"":$HOME/.okta/bin:""* ]]; then
    PATH=""$HOME/.okta/bin:$PATH""
fi

# GCLOUD and autocomplete
source ""$(brew --prefix)/Caskroom/google-cloud-sdk/latest/google-cloud-sdk/path.bash.inc""
source ""$(brew --prefix)/Caskroom/google-cloud-sdk/latest/google-cloud-sdk/completion.bash.inc""

#source /Users/myuser/.bashrc

#### FIG ENV VARIABLES ####
# Please make sure this block is at the end of this file.
[ -s ~/.fig/fig.sh ] && source ~/.fig/fig.sh
#### END FIG ENV VARIABLES ####
~$ cat ~/.config/starship.toml 
add_newline = false
[kubernetes]
disabled = false
style = ""bright-blue bold""
[aws]
disabled = true
[gcloud]
disabled = true
[python]
#scan_for_pyfiles = false
[character]
success_symbol = ""[\\$](green)""
error_symbol = ""[\\$](bold red)""
[memory_usage]
disabled = false
[status]
disabled = false
[time]
disabled = false
format = '[$time]($style) '
Environment
~$ fig diagnostics
Fig Version: Version 1.0.55 (B365) [U.S.] 
UserShell: /opt/homebrew/bin/bash
Bundle path: /Applications/Fig.app
Autocomplete: true
Settings.json: true
CLI installed: true
CLI tool path: /Users/myuser/.fig/bin/fig
Accessibility: true
Number of specs: 0
SSH Integration: false
Tmux Integration: false
Keybindings path: 
iTerm Integration: application is not present.
Hyper Integration: application is not present.
VSCode Integration: installed!
Docker Integration: true
Symlinked dotfiles: false
Only insert on tab: false
Installed via Brew: true
Installation Script: true
PseudoTerminal Path: /opt/homebrew/Caskroom/google-cloud-sdk/latest/google-cloud-sdk/bin:/bin:/sbin:/usr/bin:/usr/sbin:/usr/libexec:/opt/homebrew/bin:/usr/local/bin:/Users/myuser/bin:/Users/myuser/.fig/bin
SecureKeyboardInput: false
SecureKeyboardProcess: <none>
Current active process: ??? (???) - ???
Current working directory: /Users/myuser
Current window identifier: 39804/% (com.apple.Terminal)
Path: /opt/homebrew/Caskroom/google-cloud-sdk/latest/google-cloud-sdk/bin:/bin:/sbin:/usr/bin:/usr/sbin:/usr/libexec:/opt/homebrew/bin:/usr/local/bin:/Users/myuser/bin:/Users/myuser/.fig/bin
Fig environment variables:
  - TERM_SESSION_ID=447AB7B7-C741-41F3-BA77-143757FB2565
  - FIG_ENV_VAR=1
  - FIG_INTEGRATION_VERSION=5
  - FIG_TERM=1
  - FIG_TERM_VERSION=3
  - FIG_CHECKED_PROMPTS=1
MacOS Version: 12.1 21C52
Hardware:
  - Model Name: MacBook Pro
  - Model Identifier: MacBookPro18,1
  - Chip: Apple M1 Pro
  - Cores: 10 (8 performance and 2 efficiency)
  - Memory: 32 GB
~$",No Fig Diagnostic Found,"['codebase:shell-integrations', 'shell:bash']","Feb 15, 2022, 7:36 AM PST"
947,947,Emoji characters mess with fig,"Bug 1
quits fig app
https://user-images.githubusercontent.com/4949076/153948453-0f10c9e4-042a-4203-a6d4-d3991d762b3d.mp4
Bug 2 and bug 3
emoji insertion messes up backspace + figterm and/or autocomplete
CleanShot.2022-02-15.at.12.15.16.mp4
helpful note: javascript uses utf-16",No Fig Diagnostic Found,"['codebase:autocomplete-app', 'codebase:figterm', 'codebase:macos', 'type:bug']","Feb 15, 2022, 12:19 PM PST"
948,948,No Title Found,No Details Found,No Fig Diagnostic Found,['Error Getting Details'],Publish Date Not Found
949,949,Fig doctor error: PATH and PseudoTerminal PATH do not match,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Error found by fig doctor, which created this issue.
Rerunning fig doctor to see if the problem is resolved.....

❌ PATH and PseudoTerminal PATH do not match

Looks like we've already tried this fix before and it's not working.
Details:
macOS Fig Shell
10.14.6 18G9323 1.0.55 /bin/bash
fig diagnostic",,['None yet'],"Feb 16, 2022, 5:53 AM PST"
950,950,detailed step to turn of secure keyboard input in documentation,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Could you please add a detailed process to disable secure keyboard input in your documentation?
Thanks
Details:
macOS Fig Shell
12.1 21C52 1.0.55 /bin/zsh
fig diagnostic",,['None yet'],"Feb 16, 2022, 11:49 AM PST"
951,951,Select suggestion by tab,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my feature
Feature Details
Description:
I often that I have to press esc to prevent Penc from selecting suggestion instead of executing command. My suggestion is to add an option to select suggestion with the tab key instead of the enter key. This makes it easier to run a command without accidentally selecting suggestion. The tab key is also commonly used as the key to accept suggestion when typing, which in this context would make sense as an alternative to the enter key.",No Fig Diagnostic Found,"['codebase:mission-control', 'type:usability']","Feb 16, 2022, 2:56 PM PST"
952,952,PATH and PseudoTerminal PATH do not match,"Description:
Details:
macOS Fig Shell
12.2 21D48 1.0.55 /bin/zsh
fig diagnostic",,['None yet'],"Feb 16, 2022, 7:34 PM PST"
953,953,fig doctor tried twice to set $PATH and PseudoTerminal PATH and failed,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Details:
macOS Fig Shell
12.2 21D49 1.0.55 /bin/zsh
fig diagnostic",,['None yet'],"Feb 17, 2022, 12:49 AM PST"
954,954,Fuzzy enabled has weird redraw when autocomplete kicks in,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
I have run fig doctor in the affected terminal session
I have typed 'git ' and included a screenshot of the Debugger (click the Fig icon in the macOS menu bar)
Issue Details
Description:
If I type a command like or have any autocomplete (just easier to show with a command):
ls ~/.fig
Then fig's autocomplete kicks in as usual, when I have fuzzy enabled you can see (in the video I posted), that the redraw seems to be a bit broken? It will remove backwards whatever the autocomplete returns as. Might be something with my bashrc perhaps or something conflicting.
Example Video:
(ignore delay with autocomplete showing up, I'm pressing ""tab"" to active it)
fig_fuzzy_redraw.mp4
Debug logs:
Fig Debugger
Environment
Fig Version: Version 1.0.55 (B378) [Beta] [Australian]
UserShell: /opt/homebrew/bin/bash
Bundle path: /Applications/Fig.app
Autocomplete: true
Settings.json: true
CLI installed: true
CLI tool path: /usr/local/bin/fig
Accessibility: true
Number of specs: 0
SSH Integration: false
Tmux Integration: false
Keybindings path:
iTerm Integration: application is not present.
Hyper Integration: application is not present.
VSCode Integration: application is not present.
Docker Integration: false
Symlinked dotfiles: true
Only insert on tab: false
Installed via Brew: true
Installation Script: true
PseudoTerminal Path: /Users/lucasteligioridis/.asdf/shims:/opt/homebrew/opt/asdf/libexec/bin:/opt/homebrew/bin:/opt/homebrew/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/opt/homebrew/bin:/opt/homebrew/sbin:/Applications/kitty.app/Contents/MacOS:/Users/lucasteligioridis/.fig/bin:/Users/lucasteligioridis/bin:/Users/lucasteligioridis/.local/bin:/Users/lucasteligioridis/goprojects/bin:/Users/lucasteligioridis/.yarn/bin:/Users/lucasteligioridis/.config/yarn/global/node_modules/.bin:/Users/lucasteligioridis/.fzf/bin:/Users/lucasteligioridis/bin:/Users/lucasteligioridis/.local/bin:/Users/lucasteligioridis/goprojects/bin:/Users/lucasteligioridis/.yarn/bin:/Users/lucasteligioridis/.config/yarn/global/node_modules/.bin
SecureKeyboardInput: false
SecureKeyboardProcess: <none>
Current active process: bash (90124) - /dev/ttys034
Current working directory: /Users/lucasteligioridis/.fig.dotfiles.bak
Current window identifier: 1199/% (net.kovidgoyal.kitty)
Path: /Users/lucasteligioridis/.asdf/shims:/opt/homebrew/opt/asdf/libexec/bin:/opt/homebrew/bin:/opt/homebrew/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/opt/homebrew/bin:/opt/homebrew/sbin:/Applications/kitty.app/Contents/MacOS:/Users/lucasteligioridis/.fig/bin:/Users/lucasteligioridis/bin:/Users/lucasteligioridis/.local/bin:/Users/lucasteligioridis/goprojects/bin:/Users/lucasteligioridis/.yarn/bin:/Users/lucasteligioridis/.config/yarn/global/node_modules/.bin:/Users/lucasteligioridis/.fzf/bin:/Users/lucasteligioridis/bin:/Users/lucasteligioridis/.local/bin:/Users/lucasteligioridis/goprojects/bin:/Users/lucasteligioridis/.yarn/bin:/Users/lucasteligioridis/.config/yarn/global/node_modules/.bin
Fig environment variables:
  - TERM_SESSION_ID=332B0330-9E4D-42C5-B602-B2489E9BCEF5
  - FIG_TERM_TMUX=1
  - FIG_ENV_VAR=1
  - FIG_INTEGRATION_VERSION=6
  - FIG_TERM=1
  - FIG_TERM_VERSION=4.0.6
  - FIG_CHECKED_PROMPTS=1
MacOS Version: 12.0.1 21A559
Hardware:
  - Model Name: MacBook Pro
  - Model Identifier: MacBookPro18,2
  - Chip: Apple M1 Max
  - Cores: 10 (8 performance and 2 efficiency)
  - Memory: 64 GB",No Fig Diagnostic Found,"['codebase:autocomplete-app', 'type:bug']","Feb 17, 2022, 11:18 AM PST"
955,955,❌ PATH and PseudoTerminal PATH do not match,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Details:
macOS Fig Shell
12.2.1 21D62 1.0.55 /bin/zsh
fig diagnostic",,['None yet'],"Feb 17, 2022, 6:01 PM PST"
956,956,Enable immediatelyExecuteAfterSpace by default,This was brought up in an email - there's no downside to having this enabled by default. This will enable more people to use the app without being annoyed and shouldn't impact people who don't do this.,No Fig Diagnostic Found,"['codebase:autocomplete-app', 'type:usability']","Feb 17, 2022, 9:29 PM PST"
957,957,fig_zsh_redraw: zsh fork failed,"Description:
While using zsh terminal inside of VS Code, these errors started appearing. It takes the control away from me and other keyboard shortcuts don't work. Some time needs to pass until something gets unblocked and terminal starts being responsive again.
It has happened a few times, and with quits/restarts of Fig in between.
Not sure how to repro, I wasn't doing anything out of the ordinary.
Details:
macOS Fig Shell
11.3.0 Version 1.0.55 (B365) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['awaiting user reply'],"Feb 18, 2022, 8:13 AM PST"
958,958,PATH and PseudoTerminal PATH do not match Unresolved by Fig Doctor,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Details:
macOS Fig Shell
12.1 21C51 1.0.55 /bin/zsh
fig diagnostic",,['None yet'],"Feb 18, 2022, 9:16 AM PST"
959,959,Autocomplete does not work in SSH session,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
I have run fig doctor in the affected terminal session
I have typed 'git ' and included a screenshot of the Debugger (click the Fig icon in the macOS menu bar)
Issue Details
Description:
I open ssh session in iTerm2 terminal, then I try a simple ""cd"" command and autocomplete does not show available options.
$ ssh login@host
$ cd <tab key>
Here is a screenshot of the Debugger:
Environment
Fig Version: Version 1.0.55 (B365) [Polish - Pro]
UserShell: /bin/bash
Bundle path: /Applications/Fig.app
Autocomplete: true
Settings.json: true
CLI installed: true
CLI tool path: /Users/przemek/.fig/bin/fig
Accessibility: true
Number of specs: 0
SSH Integration: false
Tmux Integration: false
Keybindings path:
iTerm Integration: installed!
Hyper Integration: application is not present.
VSCode Integration: application is not present.
Docker Integration: false
Symlinked dotfiles: false
Only insert on tab: false
Installation Script: true
PseudoTerminal Path: /Users/przemek/.yarn/bin:/Users/przemek/.config/yarn/global/node_modules/.bin:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/usr/local/sbin:/usr/local/mysql/bin:/usr/bin:/bin:/usr/sbin:/sbin:/opt/X11/bin:/Library/Apple/usr/bin:/Users/przemek/.fig/bin
SecureKeyboardInput: false
SecureKeyboardProcess: <none>
Current active process: bash (70797) - /dev/ttys008
Current working directory: /Users/przemek
Current window identifier: 35781/% (com.googlecode.iterm2)
Path: /Users/przemek/.yarn/bin:/Users/przemek/.config/yarn/global/node_modules/.bin:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/usr/local/sbin:/usr/local/mysql/bin:/usr/bin:/bin:/usr/sbin:/sbin:/opt/X11/bin:/Library/Apple/usr/bin:/Users/przemek/.fig/bin
Fig environment variables:
  - TERM_SESSION_ID=w0t0p0:22D0E23D-71F8-4B0C-8543-69B7E4F56A4E
  - FIG_ENV_VAR=1
  - FIG_CHECKED_PROMPTS=1
  - FIG_INTEGRATION_VERSION=5
  - FIG_TERM_VERSION=3
  - FIG_TERM=1
MacOS Version: 11.6.2 20G314
Hardware:
  - Model Name: MacBook Pro
  - Model Identifier: MacBookPro16,2
  - Chip:
  - Cores: 4
  - Memory: 32 GB",No Fig Diagnostic Found,['NEED_TO_LABEL'],"Feb 18, 2022, 11:10 AM PST"
960,960,"Autocomplete in initial walkthrough not working, works fine after that","Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
I have run fig doctor in the affected terminal session
I have typed 'git ' and included a screenshot of the Debugger (click the Fig icon in the macOS menu bar)
Issue Details
Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Installed fig via Homebrew on my MacBook Air m1 - installation worked fine but the autocomplete-feature did not work in the initial walkthrough. I use iterm2 by default, even after restarting it the autocomplete menu didn't show up. After ""skipping"" the walkthrough it worked afterwards.
The command fig doctor doesn't work too, it just runs without an output...
Environment
~ fig diagnostic
Fig Version: Version 1.0.55 (B381) [German]
UserShell: /bin/zsh
Bundle path: /Applications/Fig.app
Autocomplete: true
Settings.json: true
CLI installed: true
CLI tool path: /Users/julian/.fig/bin/fig
Accessibility: true
Number of specs: 0
SSH Integration: false
Tmux Integration: false
Keybindings path:
iTerm Integration: installed!
Hyper Integration: application is not present.
VSCode Integration: installed!
Docker Integration: false
Symlinked dotfiles: false
Only insert on tab: false
Installed via Brew: true
Installation Script: true
PseudoTerminal Path:
SecureKeyboardInput: false
SecureKeyboardProcess: <none>
Current active process: zsh (69292) - /dev/ttys004
Current working directory: /Users/julian
Current window identifier: 14763/% (com.googlecode.iterm2)
Path: /opt/homebrew/bin:/opt/homebrew/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Applications/VMware Fusion Tech Preview.app/Contents/Public:/Users/julian/Library/Python/3.8/bin/:/Applications/Little Snitch.app/Contents/Components:/Library/Apple/usr/bin:/Users/julian/.fig/bin
Fig environment variables:
  - TERM_SESSION_ID=w0t1p0:9395CEAB-CA85-43E3-A627-93DADB11E3F9
  - FIG_INTEGRATION_VERSION=6
  - FIG_TERM=1
  - FIG_TERM_VERSION=4.0.10
  - FIG_ENV_VAR=1
  - FIG_CHECKED_PROMPTS=1
MacOS Version: 12.2.1 21D62
Hardware:
  - Model Name: MacBook Air
  - Model Identifier: MacBookAir10,1
  - Chip: Apple M1
  - Cores: 8 (4 performance and 4 efficiency)
  - Memory: 16 GB",No Fig Diagnostic Found,['NEED_TO_LABEL'],"Feb 18, 2022, 1:50 PM PST"
961,961,安装白屏,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Details:
macOS Fig Shell
12.2.1 Version 1.0.55 (B381) /bin/zsh
fig diagnostic",,['None yet'],"Feb 18, 2022, 11:42 PM PST"
962,962,Importing the fig lines into the .zshrc leads to false debugger warning,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
I have run fig doctor in the affected terminal session
I have typed 'git ' and included a screenshot of the Debugger (click the Fig icon in the macOS menu bar)
Issue Details
Description
I tried putting the fig lines from the .zshrc into separate files to import via source, so basically changing this:
[ -s ~/.fig/shell/pre.sh ] && source ~/.fig/shell/pre.sh

...

[ -s ~/.fig/fig.sh ] && source ~/.fig/fig.sh
to this:
source ""$ZSH_DOTFILE_LOCATION""/load_before.zsh

...

source ""$ZSH_DOTFILE_LOCATION""/load_after.zsh
Fig still does work properly, but the debugger reports a false warning and prompts me to re-run the installation script
Environment
Fig Version: Version 1.0.55 (B381) [ABC – QWERTZ] 
UserShell: /bin/zsh
Bundle path: /Applications/Fig.app
Autocomplete: true
Settings.json: true
CLI installed: true
CLI tool path: /Users/chrisgrieser/.fig/bin/fig
Accessibility: true
Number of specs: 0
SSH Integration: false
Tmux Integration: false
Keybindings path: 
iTerm Integration: application is not present.
Hyper Integration: installed!
VSCode Integration: application is not present.
Docker Integration: false
Symlinked dotfiles: true
Only insert on tab: false
Installed via Brew: true
Installation Script: false
PseudoTerminal Path: 
SecureKeyboardInput: false
SecureKeyboardProcess: <none>
Current active process: zsh (46079) - /dev/ttys002
Current working directory: /Users/chrisgrieser/Library/Mobile Documents/com~apple~CloudDocs/File Hub
Current window identifier: 5105/% (co.zeit.hyper)
Path: /Applications/Sublime Text.app/Contents/SharedSupport/bin:/opt/homebrew/bin:/opt/homebrew/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Users/chrisgrieser/.fig/bin
Fig environment variables:
  - TERM_SESSION_ID=07BCEF93-0DF5-4E77-8211-04421C12EC6C
  - FIG_INTEGRATION_VERSION=6
  - FIG_TERM=1
  - FIG_TERM_VERSION=4.0.10
  - FIG_ENV_VAR=1
  - FIG_CHECKED_PROMPTS=1
MacOS Version: 12.0.1 21A559
Hardware:
  - Model Name: iMac
  - Model Identifier: iMac21,1
  - Chip: Apple M1
  - Cores: 8 (4 performance and 4 efficiency)
  - Memory: 16 GB",No Fig Diagnostic Found,['NEED_TO_LABEL'],"Feb 20, 2022, 2:45 AM PST"
